task_id,model_type,dataset,batch_size,start_time_ms,deadline_ms,data_size,pruning_amount
123,resnet50,cifar10,1,1220500,1500,1,0.64
124,resnet50,cifar10,1,1230500,2000,1,0.64
125,resnet50,cifar10,1,1240500,2500,1,0.64
126,resnet50,cifar10,1,1250500,3000,1,0.64
127,resnet50,cifar10,1,1260500,3500,1,0.64
128,resnet50,cifar10,1,1270500,4000,1,0.64
129,resnet50,cifar10,1,1280500,4500,1,0.64
130,resnet50,cifar10,1,1290500,5000,1,0.64
131,resnet50,cifar10,1,1300500,5500,1,0.64
132,resnet50,cifar10,1,1310500,6000,1,0.64
133,resnet50,cifar10,1,1320500,6500,1,0.64
134,resnet50,cifar10,1,1330500,7000,1,0.64
135,resnet50,cifar10,1,1340500,7500,1,0.64
136,resnet50,cifar10,1,1350500,8000,1,0.64
137,resnet50,cifar10,1,1360500,8500,1,0.64
138,resnet50,cifar10,1,1370500,9000,1,0.64
139,resnet50,cifar10,1,1380500,9500,1,0.64
140,resnet50,cifar10,1,1390500,10000,1,0.64
141,resnet50,cifar10,1,1400500,100,1,0.72
142,resnet50,cifar10,1,1410500,200,1,0.72
143,resnet50,cifar10,1,1420500,300,1,0.72
144,resnet50,cifar10,1,1430500,400,1,0.72
145,resnet50,cifar10,1,1440500,500,1,0.72
146,resnet50,cifar10,1,1450500,600,1,0.72
147,resnet50,cifar10,1,1460500,700,1,0.72
148,resnet50,cifar10,1,1470500,800,1,0.72
149,resnet50,cifar10,1,1480500,900,1,0.72
150,resnet50,cifar10,1,1490500,1000,1,0.72
151,resnet50,cifar10,1,1500500,1500,1,0.72
152,resnet50,cifar10,1,1510500,2000,1,0.72
153,resnet50,cifar10,1,1520500,2500,1,0.72
154,resnet50,cifar10,1,1530500,3000,1,0.72
155,resnet50,cifar10,1,1540500,3500,1,0.72
156,resnet50,cifar10,1,1550500,4000,1,0.72
157,resnet50,cifar10,1,1560500,4500,1,0.72
158,resnet50,cifar10,1,1570500,5000,1,0.72
159,resnet50,cifar10,1,1580500,5500,1,0.72
160,resnet50,cifar10,1,1590500,6000,1,0.72
161,resnet50,cifar10,1,1600500,6500,1,0.72
162,resnet50,cifar10,1,1610500,7000,1,0.72
163,resnet50,cifar10,1,1620500,7500,1,0.72
164,resnet50,cifar10,1,1630500,8000,1,0.72
165,resnet50,cifar10,1,1640500,8500,1,0.72
166,resnet50,cifar10,1,1650500,9000,1,0.72
167,resnet50,cifar10,1,1660500,9500,1,0.72
168,resnet50,cifar10,1,1670500,10000,1,0.72
169,mobilenet_v3_large,cifar10,1,1680500,100,1,0
170,mobilenet_v3_large,cifar10,1,1690500,200,1,0
171,mobilenet_v3_large,cifar10,1,1700500,300,1,0
172,mobilenet_v3_large,cifar10,1,1710500,400,1,0
173,mobilenet_v3_large,cifar10,1,1720500,500,1,0
174,mobilenet_v3_large,cifar10,1,1730500,600,1,0
175,mobilenet_v3_large,cifar10,1,1740500,700,1,0
176,mobilenet_v3_large,cifar10,1,1750500,800,1,0
177,mobilenet_v3_large,cifar10,1,1760500,900,1,0
178,mobilenet_v3_large,cifar10,1,1770500,1000,1,0
179,mobilenet_v3_large,cifar10,1,1780500,1500,1,0
180,mobilenet_v3_large,cifar10,1,1790500,2000,1,0
181,mobilenet_v3_large,cifar10,1,1800500,2500,1,0
182,mobilenet_v3_large,cifar10,1,1810500,3000,1,0
183,mobilenet_v3_large,cifar10,1,1820500,3500,1,0
184,mobilenet_v3_large,cifar10,1,1830500,4000,1,0
185,mobilenet_v3_large,cifar10,1,1840500,4500,1,0
186,mobilenet_v3_large,cifar10,1,1850500,5000,1,0
187,mobilenet_v3_large,cifar10,1,1860500,5500,1,0
188,mobilenet_v3_large,cifar10,1,1870500,6000,1,0
189,mobilenet_v3_large,cifar10,1,1880500,6500,1,0
190,mobilenet_v3_large,cifar10,1,1890500,7000,1,0
191,mobilenet_v3_large,cifar10,1,1900500,7500,1,0
192,mobilenet_v3_large,cifar10,1,1910500,8000,1,0
193,mobilenet_v3_large,cifar10,1,1920500,8500,1,0
194,mobilenet_v3_large,cifar10,1,1930500,9000,1,0
195,mobilenet_v3_large,cifar10,1,1940500,9500,1,0
196,mobilenet_v3_large,cifar10,1,1950500,10000,1,0
197,mobilenet_v3_large,cifar10,1,1960500,100,1,0.56
198,mobilenet_v3_large,cifar10,1,1970500,200,1,0.56
199,mobilenet_v3_large,cifar10,1,1980500,300,1,0.56
200,mobilenet_v3_large,cifar10,1,1990500,400,1,0.56
201,mobilenet_v3_large,cifar10,1,2000500,500,1,0.56
202,mobilenet_v3_large,cifar10,1,2010500,600,1,0.56
203,mobilenet_v3_large,cifar10,1,2020500,700,1,0.56
204,mobilenet_v3_large,cifar10,1,2030500,800,1,0.56
205,mobilenet_v3_large,cifar10,1,2040500,900,1,0.56
206,mobilenet_v3_large,cifar10,1,2050500,1000,1,0.56
207,mobilenet_v3_large,cifar10,1,2060500,1500,1,0.56
208,mobilenet_v3_large,cifar10,1,2070500,2000,1,0.56
209,mobilenet_v3_large,cifar10,1,2080500,2500,1,0.56
210,mobilenet_v3_large,cifar10,1,2090500,3000,1,0.56
211,mobilenet_v3_large,cifar10,1,2100500,3500,1,0.56
212,mobilenet_v3_large,cifar10,1,2110500,4000,1,0.56
213,mobilenet_v3_large,cifar10,1,2120500,4500,1,0.56
214,mobilenet_v3_large,cifar10,1,2130500,5000,1,0.56
215,mobilenet_v3_large,cifar10,1,2140500,5500,1,0.56
216,mobilenet_v3_large,cifar10,1,2150500,6000,1,0.56
217,mobilenet_v3_large,cifar10,1,2160500,6500,1,0.56
218,mobilenet_v3_large,cifar10,1,2170500,7000,1,0.56
219,mobilenet_v3_large,cifar10,1,2180500,7500,1,0.56
220,mobilenet_v3_large,cifar10,1,2190500,8000,1,0.56
221,mobilenet_v3_large,cifar10,1,2200500,8500,1,0.56
222,mobilenet_v3_large,cifar10,1,2210500,9000,1,0.56
223,mobilenet_v3_large,cifar10,1,2220500,9500,1,0.56
224,mobilenet_v3_large,cifar10,1,2230500,10000,1,0.56
225,mobilenet_v3_large,cifar10,1,2240500,100,1,0.6
226,mobilenet_v3_large,cifar10,1,2250500,200,1,0.6
227,mobilenet_v3_large,cifar10,1,2260500,300,1,0.6
228,mobilenet_v3_large,cifar10,1,2270500,400,1,0.6
229,mobilenet_v3_large,cifar10,1,2280500,500,1,0.6
230,mobilenet_v3_large,cifar10,1,2290500,600,1,0.6
231,mobilenet_v3_large,cifar10,1,2300500,700,1,0.6
232,mobilenet_v3_large,cifar10,1,2310500,800,1,0.6
233,mobilenet_v3_large,cifar10,1,2320500,900,1,0.6
234,mobilenet_v3_large,cifar10,1,2330500,1000,1,0.6
235,mobilenet_v3_large,cifar10,1,2340500,1500,1,0.6
236,mobilenet_v3_large,cifar10,1,2350500,2000,1,0.6
237,mobilenet_v3_large,cifar10,1,2360500,2500,1,0.6
238,mobilenet_v3_large,cifar10,1,2370500,3000,1,0.6
239,mobilenet_v3_large,cifar10,1,2380500,3500,1,0.6
240,mobilenet_v3_large,cifar10,1,2390500,4000,1,0.6
241,mobilenet_v3_large,cifar10,1,2400500,4500,1,0.6
242,mobilenet_v3_large,cifar10,1,2410500,5000,1,0.6
243,mobilenet_v3_large,cifar10,1,2420500,5500,1,0.6
244,mobilenet_v3_large,cifar10,1,2430500,6000,1,0.6
245,mobilenet_v3_large,cifar10,1,2440500,6500,1,0.6
246,mobilenet_v3_large,cifar10,1,2450500,7000,1,0.6
247,mobilenet_v3_large,cifar10,1,2460500,7500,1,0.6
248,mobilenet_v3_large,cifar10,1,2470500,8000,1,0.6
249,mobilenet_v3_large,cifar10,1,2480500,8500,1,0.6
250,mobilenet_v3_large,cifar10,1,2490500,9000,1,0.6
251,mobilenet_v3_large,cifar10,1,2500500,9500,1,0.6
252,mobilenet_v3_large,cifar10,1,2510500,10000,1,0.6
253,mobilenet_v3_large,cifar10,1,2520500,100,1,0.72
254,mobilenet_v3_large,cifar10,1,2530500,200,1,0.72
255,mobilenet_v3_large,cifar10,1,2540500,300,1,0.72
256,mobilenet_v3_large,cifar10,1,2550500,400,1,0.72
257,mobilenet_v3_large,cifar10,1,2560500,500,1,0.72
258,mobilenet_v3_large,cifar10,1,2570500,600,1,0.72
259,mobilenet_v3_large,cifar10,1,2580500,700,1,0.72
260,mobilenet_v3_large,cifar10,1,2590500,800,1,0.72
261,mobilenet_v3_large,cifar10,1,2600500,900,1,0.72
262,mobilenet_v3_large,cifar10,1,2610500,1000,1,0.72
263,mobilenet_v3_large,cifar10,1,2620500,1500,1,0.72
264,mobilenet_v3_large,cifar10,1,2630500,2000,1,0.72
265,mobilenet_v3_large,cifar10,1,2640500,2500,1,0.72
266,mobilenet_v3_large,cifar10,1,2650500,3000,1,0.72
267,mobilenet_v3_large,cifar10,1,2660500,3500,1,0.72
268,mobilenet_v3_large,cifar10,1,2670500,4000,1,0.72
269,mobilenet_v3_large,cifar10,1,2680500,4500,1,0.72
270,mobilenet_v3_large,cifar10,1,2690500,5000,1,0.72
271,mobilenet_v3_large,cifar10,1,2700500,5500,1,0.72
272,mobilenet_v3_large,cifar10,1,2710500,6000,1,0.72
273,mobilenet_v3_large,cifar10,1,2720500,6500,1,0.72
274,mobilenet_v3_large,cifar10,1,2730500,7000,1,0.72
275,mobilenet_v3_large,cifar10,1,2740500,7500,1,0.72
276,mobilenet_v3_large,cifar10,1,2750500,8000,1,0.72
277,mobilenet_v3_large,cifar10,1,2760500,8500,1,0.72
278,mobilenet_v3_large,cifar10,1,2770500,9000,1,0.72
279,mobilenet_v3_large,cifar10,1,2780500,9500,1,0.72
280,mobilenet_v3_large,cifar10,1,2790500,10000,1,0.72
281,mobilenet_v3_large,cifar10,1,2800500,100,1,0.76
282,mobilenet_v3_large,cifar10,1,2810500,200,1,0.76
283,mobilenet_v3_large,cifar10,1,2820500,300,1,0.76
284,mobilenet_v3_large,cifar10,1,2830500,400,1,0.76
285,mobilenet_v3_large,cifar10,1,2840500,500,1,0.76
286,mobilenet_v3_large,cifar10,1,2850500,600,1,0.76
287,mobilenet_v3_large,cifar10,1,2860500,700,1,0.76
288,mobilenet_v3_large,cifar10,1,2870500,800,1,0.76
289,mobilenet_v3_large,cifar10,1,2880500,900,1,0.76
290,mobilenet_v3_large,cifar10,1,2890500,1000,1,0.76
291,mobilenet_v3_large,cifar10,1,2900500,1500,1,0.76
292,mobilenet_v3_large,cifar10,1,2910500,2000,1,0.76
293,mobilenet_v3_large,cifar10,1,2920500,2500,1,0.76
294,mobilenet_v3_large,cifar10,1,2930500,3000,1,0.76
295,mobilenet_v3_large,cifar10,1,2940500,3500,1,0.76
296,mobilenet_v3_large,cifar10,1,2950500,4000,1,0.76
297,mobilenet_v3_large,cifar10,1,2960500,4500,1,0.76
298,mobilenet_v3_large,cifar10,1,2970500,5000,1,0.76
299,mobilenet_v3_large,cifar10,1,2980500,5500,1,0.76
300,mobilenet_v3_large,cifar10,1,2990500,6000,1,0.76
301,mobilenet_v3_large,cifar10,1,3000500,6500,1,0.76
302,mobilenet_v3_large,cifar10,1,3010500,7000,1,0.76
303,mobilenet_v3_large,cifar10,1,3020500,7500,1,0.76
304,mobilenet_v3_large,cifar10,1,3030500,8000,1,0.76
305,mobilenet_v3_large,cifar10,1,3040500,8500,1,0.76
306,mobilenet_v3_large,cifar10,1,3050500,9000,1,0.76
307,mobilenet_v3_large,cifar10,1,3060500,9500,1,0.76
308,mobilenet_v3_large,cifar10,1,3070500,10000,1,0.76
309,mobilenet_v3_large,cifar10,1,3080500,100,1,0.8
310,mobilenet_v3_large,cifar10,1,3090500,200,1,0.8
311,mobilenet_v3_large,cifar10,1,3100500,300,1,0.8
312,mobilenet_v3_large,cifar10,1,3110500,400,1,0.8
313,mobilenet_v3_large,cifar10,1,3120500,500,1,0.8
314,mobilenet_v3_large,cifar10,1,3130500,600,1,0.8
315,mobilenet_v3_large,cifar10,1,3140500,700,1,0.8
316,mobilenet_v3_large,cifar10,1,3150500,800,1,0.8
317,mobilenet_v3_large,cifar10,1,3160500,900,1,0.8
318,mobilenet_v3_large,cifar10,1,3170500,1000,1,0.8
319,mobilenet_v3_large,cifar10,1,3180500,1500,1,0.8
320,mobilenet_v3_large,cifar10,1,3190500,2000,1,0.8
321,mobilenet_v3_large,cifar10,1,3200500,2500,1,0.8
322,mobilenet_v3_large,cifar10,1,3210500,3000,1,0.8
323,mobilenet_v3_large,cifar10,1,3220500,3500,1,0.8
324,mobilenet_v3_large,cifar10,1,3230500,4000,1,0.8
325,mobilenet_v3_large,cifar10,1,3240500,4500,1,0.8
326,mobilenet_v3_large,cifar10,1,3250500,5000,1,0.8
327,mobilenet_v3_large,cifar10,1,3260500,5500,1,0.8
328,mobilenet_v3_large,cifar10,1,3270500,6000,1,0.8
329,mobilenet_v3_large,cifar10,1,3280500,6500,1,0.8
330,mobilenet_v3_large,cifar10,1,3290500,7000,1,0.8
331,mobilenet_v3_large,cifar10,1,3300500,7500,1,0.8
332,mobilenet_v3_large,cifar10,1,3310500,8000,1,0.8
333,mobilenet_v3_large,cifar10,1,3320500,8500,1,0.8
334,mobilenet_v3_large,cifar10,1,3330500,9000,1,0.8
335,mobilenet_v3_large,cifar10,1,3340500,9500,1,0.8
336,mobilenet_v3_large,cifar10,1,3350500,10000,1,0.8
337,vgg16,cifar10,1,3360500,100,1,0
338,vgg16,cifar10,1,3370500,200,1,0
339,vgg16,cifar10,1,3380500,300,1,0
340,vgg16,cifar10,1,3390500,400,1,0
341,vgg16,cifar10,1,3400500,500,1,0
342,vgg16,cifar10,1,3410500,600,1,0
343,vgg16,cifar10,1,3420500,700,1,0
344,vgg16,cifar10,1,3430500,800,1,0
345,vgg16,cifar10,1,3440500,900,1,0
346,vgg16,cifar10,1,3450500,1000,1,0
347,vgg16,cifar10,1,3460500,1500,1,0
348,vgg16,cifar10,1,3470500,2000,1,0
349,vgg16,cifar10,1,3480500,2500,1,0
350,vgg16,cifar10,1,3490500,3000,1,0
351,vgg16,cifar10,1,3500500,3500,1,0
352,vgg16,cifar10,1,3510500,4000,1,0
353,vgg16,cifar10,1,3520500,4500,1,0
354,vgg16,cifar10,1,3530500,5000,1,0
355,vgg16,cifar10,1,3540500,5500,1,0
356,vgg16,cifar10,1,3550500,6000,1,0
357,vgg16,cifar10,1,3560500,6500,1,0
358,vgg16,cifar10,1,3570500,7000,1,0
359,vgg16,cifar10,1,3580500,7500,1,0
360,vgg16,cifar10,1,3590500,8000,1,0
361,vgg16,cifar10,1,3600500,8500,1,0
362,vgg16,cifar10,1,3610500,9000,1,0
363,vgg16,cifar10,1,3620500,9500,1,0
364,vgg16,cifar10,1,3630500,10000,1,0
365,vgg16,cifar10,1,3640500,100,1,0.04
366,vgg16,cifar10,1,3650500,200,1,0.04
367,vgg16,cifar10,1,3660500,300,1,0.04
368,vgg16,cifar10,1,3670500,400,1,0.04
369,vgg16,cifar10,1,3680500,500,1,0.04
370,vgg16,cifar10,1,3690500,600,1,0.04
371,vgg16,cifar10,1,3700500,700,1,0.04
372,vgg16,cifar10,1,3710500,800,1,0.04
373,vgg16,cifar10,1,3720500,900,1,0.04
374,vgg16,cifar10,1,3730500,1000,1,0.04
375,vgg16,cifar10,1,3740500,1500,1,0.04
376,vgg16,cifar10,1,3750500,2000,1,0.04
377,vgg16,cifar10,1,3760500,2500,1,0.04
378,vgg16,cifar10,1,3770500,3000,1,0.04
379,vgg16,cifar10,1,3780500,3500,1,0.04
380,vgg16,cifar10,1,3790500,4000,1,0.04
381,vgg16,cifar10,1,3800500,4500,1,0.04
382,vgg16,cifar10,1,3810500,5000,1,0.04
383,vgg16,cifar10,1,3820500,5500,1,0.04
384,vgg16,cifar10,1,3830500,6000,1,0.04
385,vgg16,cifar10,1,3840500,6500,1,0.04
386,vgg16,cifar10,1,3850500,7000,1,0.04
387,vgg16,cifar10,1,3860500,7500,1,0.04
388,vgg16,cifar10,1,3870500,8000,1,0.04
389,vgg16,cifar10,1,3880500,8500,1,0.04
390,vgg16,cifar10,1,3890500,9000,1,0.04
391,vgg16,cifar10,1,3900500,9500,1,0.04
392,vgg16,cifar10,1,3910500,10000,1,0.04
393,vgg16,cifar10,1,3920500,100,1,0.24
394,vgg16,cifar10,1,3930500,200,1,0.24
395,vgg16,cifar10,1,3940500,300,1,0.24
396,vgg16,cifar10,1,3950500,400,1,0.24
397,vgg16,cifar10,1,3960500,500,1,0.24
398,vgg16,cifar10,1,3970500,600,1,0.24
399,vgg16,cifar10,1,3980500,700,1,0.24
400,vgg16,cifar10,1,3990500,800,1,0.24
401,vgg16,cifar10,1,4000500,900,1,0.24
402,vgg16,cifar10,1,4010500,1000,1,0.24
403,vgg16,cifar10,1,4020500,1500,1,0.24
404,vgg16,cifar10,1,4030500,2000,1,0.24
405,vgg16,cifar10,1,4040500,2500,1,0.24
406,vgg16,cifar10,1,4050500,3000,1,0.24
407,vgg16,cifar10,1,4060500,3500,1,0.24
408,vgg16,cifar10,1,4070500,4000,1,0.24
409,vgg16,cifar10,1,4080500,4500,1,0.24
410,vgg16,cifar10,1,4090500,5000,1,0.24
411,vgg16,cifar10,1,4100500,5500,1,0.24
412,vgg16,cifar10,1,4110500,6000,1,0.24
413,vgg16,cifar10,1,4120500,6500,1,0.24
414,vgg16,cifar10,1,4130500,7000,1,0.24
415,vgg16,cifar10,1,4140500,7500,1,0.24
416,vgg16,cifar10,1,4150500,8000,1,0.24
417,vgg16,cifar10,1,4160500,8500,1,0.24
418,vgg16,cifar10,1,4170500,9000,1,0.24
419,vgg16,cifar10,1,4180500,9500,1,0.24
420,vgg16,cifar10,1,4190500,10000,1,0.24
421,vgg16,cifar10,1,4200500,100,1,0.44
422,vgg16,cifar10,1,4210500,200,1,0.44
423,vgg16,cifar10,1,4220500,300,1,0.44
424,vgg16,cifar10,1,4230500,400,1,0.44
425,vgg16,cifar10,1,4240500,500,1,0.44
426,vgg16,cifar10,1,4250500,600,1,0.44
427,vgg16,cifar10,1,4260500,700,1,0.44
428,vgg16,cifar10,1,4270500,800,1,0.44
429,vgg16,cifar10,1,4280500,900,1,0.44
430,vgg16,cifar10,1,4290500,1000,1,0.44
431,vgg16,cifar10,1,4300500,1500,1,0.44
432,vgg16,cifar10,1,4310500,2000,1,0.44
433,vgg16,cifar10,1,4320500,2500,1,0.44
434,vgg16,cifar10,1,4330500,3000,1,0.44
435,vgg16,cifar10,1,4340500,3500,1,0.44
436,vgg16,cifar10,1,4350500,4000,1,0.44
437,vgg16,cifar10,1,4360500,4500,1,0.44
438,vgg16,cifar10,1,4370500,5000,1,0.44
439,vgg16,cifar10,1,4380500,5500,1,0.44
440,vgg16,cifar10,1,4390500,6000,1,0.44
441,vgg16,cifar10,1,4400500,6500,1,0.44
442,vgg16,cifar10,1,4410500,7000,1,0.44
443,vgg16,cifar10,1,4420500,7500,1,0.44
444,vgg16,cifar10,1,4430500,8000,1,0.44
445,vgg16,cifar10,1,4440500,8500,1,0.44
446,vgg16,cifar10,1,4450500,9000,1,0.44
447,vgg16,cifar10,1,4460500,9500,1,0.44
448,vgg16,cifar10,1,4470500,10000,1,0.44
449,vgg16,cifar10,1,4480500,100,1,0.72
450,vgg16,cifar10,1,4490500,200,1,0.72
451,vgg16,cifar10,1,4500500,300,1,0.72
452,vgg16,cifar10,1,4510500,400,1,0.72
453,vgg16,cifar10,1,4520500,500,1,0.72
454,vgg16,cifar10,1,4530500,600,1,0.72
455,vgg16,cifar10,1,4540500,700,1,0.72
456,vgg16,cifar10,1,4550500,800,1,0.72
457,vgg16,cifar10,1,4560500,900,1,0.72
458,vgg16,cifar10,1,4570500,1000,1,0.72
459,vgg16,cifar10,1,4580500,1500,1,0.72
460,vgg16,cifar10,1,4590500,2000,1,0.72
461,vgg16,cifar10,1,4600500,2500,1,0.72
462,vgg16,cifar10,1,4610500,3000,1,0.72
463,vgg16,cifar10,1,4620500,3500,1,0.72
464,vgg16,cifar10,1,4630500,4000,1,0.72
465,vgg16,cifar10,1,4640500,4500,1,0.72
466,vgg16,cifar10,1,4650500,5000,1,0.72
467,vgg16,cifar10,1,4660500,5500,1,0.72
468,vgg16,cifar10,1,4670500,6000,1,0.72
469,vgg16,cifar10,1,4680500,6500,1,0.72
470,vgg16,cifar10,1,4690500,7000,1,0.72
471,vgg16,cifar10,1,4700500,7500,1,0.72
472,vgg16,cifar10,1,4710500,8000,1,0.72
473,vgg16,cifar10,1,4720500,8500,1,0.72
474,vgg16,cifar10,1,4730500,9000,1,0.72
475,vgg16,cifar10,1,4740500,9500,1,0.72
476,vgg16,cifar10,1,4750500,10000,1,0.72
477,vgg16,cifar10,1,4760500,100,1,0.8
478,vgg16,cifar10,1,4770500,200,1,0.8
479,vgg16,cifar10,1,4780500,300,1,0.8
480,vgg16,cifar10,1,4790500,400,1,0.8
481,vgg16,cifar10,1,4800500,500,1,0.8
482,vgg16,cifar10,1,4810500,600,1,0.8
483,vgg16,cifar10,1,4820500,700,1,0.8
484,vgg16,cifar10,1,4830500,800,1,0.8
485,vgg16,cifar10,1,4840500,900,1,0.8
486,vgg16,cifar10,1,4850500,1000,1,0.8
487,vgg16,cifar10,1,4860500,1500,1,0.8
488,vgg16,cifar10,1,4870500,2000,1,0.8
489,vgg16,cifar10,1,4880500,2500,1,0.8
490,vgg16,cifar10,1,4890500,3000,1,0.8
491,vgg16,cifar10,1,4900500,3500,1,0.8
492,vgg16,cifar10,1,4910500,4000,1,0.8
493,vgg16,cifar10,1,4920500,4500,1,0.8
494,vgg16,cifar10,1,4930500,5000,1,0.8
